,EEG.F3,EEG.F4,EEG.FC5,EEG.FC6,EEG.P7,EEG.P8,EEG.T7,EEG.T8
89,4193.974121,4468.589844,4209.871582,4318.717773,4318.461426,4374.358887,4341.666504,4339.743652
90,4190.769043,4467.820313,4208.846191,4318.717773,4317.820313,4372.948730,4339.487305,4340.512695
91,4188.846191,4469.230957,4209.102539,4322.948730,4319.871582,4375.256348,4340.256348,4342.820313
92,4186.794922,4468.717773,4209.358887,4325.897461,4322.692383,4377.051270,4342.948730,4342.820313
93,4183.333496,4464.230957,4208.205078,4323.205078,4324.230957,4374.487305,4346.538574,4338.717773
94,4178.974121,4457.436035,4205.769043,4315.512695,4324.230957,4367.563965,4350.512695,4332.051270
95,4175.897461,4452.307617,4203.717773,4307.820313,4323.717773,4359.743652,4354.743652,4326.025879
96,4175.641113,4451.282227,4203.717773,4304.102539,4323.974121,4355.512695,4358.333496,4322.820313
97,4177.820313,4453.461426,4206.538574,4305.128418,4325.256348,4356.666504,4360.000000,4322.692383
98,4180.897461,4456.538574,4210.769043,4308.333496,4327.051270,4361.410156,4359.487305,4324.871582
99,4183.461426,4458.846191,4213.717773,4311.025879,4328.461426,4365.897461,4357.563965,4328.077148
100,4185.256348,4459.871582,4213.846191,4312.307617,4328.974121,4366.922852,4355.769043,4331.282227
101,4185.769043,4459.871582,4211.282227,4312.307617,4328.974121,4363.717773,4355.897461,4333.461426
102,4184.871582,4459.102539,4208.077148,4311.794922,4328.846191,4358.717773,4357.436035,4333.846191
103,4181.922852,4457.436035,4205.897461,4311.025879,4328.461426,4354.871582,4358.461426,4332.051270
104,4177.307617,4455.000000,4205.000000,4310.128418,4327.563965,4353.589844,4357.307617,4328.717773
105,4172.820313,4452.307617,4203.846191,4309.358887,4325.641113,4354.230957,4353.077148,4325.128418
106,4170.384766,4450.769043,4202.436035,4308.974121,4323.461426,4355.384766,4347.563965,4322.820313
107,4171.410156,4452.307617,4202.051270,4309.871582,4322.820313,4356.922852,4343.205078,4323.846191
108,4176.153809,4457.692383,4204.358887,4312.820313,4325.512695,4359.615234,4342.563965,4329.230957
109,4182.948730,4465.384766,4209.102539,4317.307617,4330.897461,4364.487305,4346.666504,4337.436035
110,4188.461426,4471.538574,4213.589844,4321.666504,4335.641113,4369.743652,4352.948730,4344.358887
111,4189.743652,4472.692383,4214.615234,4323.205078,4336.666504,4372.436035,4356.922852,4345.769043
112,4186.922852,4467.820313,4211.025879,4319.871582,4333.589844,4370.512695,4355.128418,4340.512695
113,4182.307617,4459.358887,4204.358887,4312.820313,4328.974121,4364.871582,4348.077148,4331.922852
114,4179.487305,4451.794922,4198.717773,4305.897461,4326.410156,4358.461426,4340.256348,4325.128418
115,4179.871582,4449.871582,4197.563965,4303.333496,4327.948730,4354.615234,4337.179688,4323.717773
116,4183.077148,4455.384766,4202.051270,4307.179688,4333.333496,4354.615234,4341.025879,4328.077148
117,4187.179688,4465.128418,4209.743652,4315.384766,4339.615234,4357.307617,4348.974121,4334.615234
118,4190.641113,4473.461426,4216.025879,4322.820313,4343.717773,4359.871582,4354.358887,4337.948730
119,4192.948730,4475.641113,4218.077148,4324.871582,4344.230957,4359.871582,4352.820313,4335.512695
120,4194.358887,4471.282227,4216.410156,4320.512695,4342.307617,4357.563965,4345.897461,4328.846191
121,4195.641113,4465.000000,4213.846191,4313.205078,4340.897461,4355.000000,4340.384766,4323.205078
122,4197.436035,4462.051270,4213.333496,4307.563965,4341.410156,4354.102539,4341.282227,4322.436035
123,4200.000000,4465.256348,4214.871582,4306.794922,4342.948730,4355.512695,4348.461426,4326.538574
124,4202.051270,4471.794922,4216.922852,4310.128418,4343.333496,4358.461426,4356.025879,4331.922852
125,4202.563965,4477.051270,4217.563965,4314.615234,4341.666504,4361.153809,4358.205078,4335.256348
126,4202.051270,4477.563965,4216.794922,4317.179688,4339.615234,4362.692383,4353.974121,4335.769043
127,4201.666504,4474.230957,4215.897461,4317.436035,4339.871582,4363.461426,4347.948730,4335.897461
128,4202.179688,4470.256348,4215.769043,4316.538574,4343.333496,4364.102539,4345.897461,4337.307617
129,4202.692383,4467.692383,4216.538574,4315.256348,4347.820313,4363.846191,4349.871582,4338.717773
130,4201.410156,4466.153809,4217.307617,4313.205078,4349.871582,4361.922852,4356.282227,4337.692383
131,4197.692383,4463.717773,4217.051270,4309.871582,4347.820313,4358.461426,4359.615234,4332.948730
132,4193.461426,4459.871582,4215.256348,4306.025879,4342.820313,4355.000000,4356.922852,4326.410156
133,4191.153809,4456.794922,4213.205078,4303.974121,4338.846191,4353.461426,4350.641113,4322.307617
134,4192.692383,4457.692383,4212.563965,4306.282227,4339.487305,4355.384766,4346.666504,4323.974121
135,4197.436035,4464.358887,4213.974121,4312.692383,4345.256348,4360.512695,4348.974121,4331.410156
136,4202.436035,4473.461426,4216.538574,4319.743652,4353.589844,4366.410156,4356.282227,4340.512695
