,EEG.F3,EEG.F4,EEG.FC5,EEG.FC6,EEG.P7,EEG.P8,EEG.T7,EEG.T8
0,4157.436035,4191.666504,4147.563965,4262.692383,4462.948730,4476.794922,4367.820313,4427.563965
1,4159.358887,4193.974121,4152.692383,4266.282227,4461.153809,4475.384766,4371.282227,4429.358887
2,4161.410156,4194.871582,4157.179688,4267.820313,4461.025879,4473.333496,4371.025879,4427.820313
3,4162.948730,4193.589844,4158.205078,4266.025879,4462.436035,4472.179688,4368.077148,4422.563965
4,4164.743652,4192.051270,4156.025879,4262.179688,4464.615234,4472.692383,4364.871582,4416.282227
5,4166.922852,4192.179688,4153.077148,4259.743652,4466.153809,4474.230957,4363.974121,4413.205078
6,4167.948730,4193.589844,4151.922852,4260.256348,4466.282227,4475.256348,4365.000000,4415.256348
7,4166.666504,4194.230957,4152.692383,4262.307617,4465.384766,4475.384766,4365.897461,4420.512695
8,4163.461426,4193.333496,4153.717773,4263.333496,4464.358887,4474.871582,4364.871582,4425.384766
9,4160.769043,4191.538574,4153.589844,4262.179688,4463.717773,4474.230957,4362.563965,4427.563965
10,4160.128418,4190.256348,4152.307617,4259.743652,4463.333496,4473.846191,4360.641113,4427.436035
11,4161.538574,4190.641113,4150.256348,4257.820313,4462.692383,4474.230957,4359.358887,4427.051270
12,4163.846191,4192.820313,4148.717773,4258.077148,4462.051270,4475.256348,4358.333496,4427.820313
13,4166.153809,4195.641113,4149.487305,4260.897461,4462.179688,4476.282227,4358.077148,4430.256348
14,4167.436035,4197.948730,4152.563965,4265.384766,4462.948730,4476.538574,4359.487305,4433.717773
15,4167.692383,4199.102539,4156.538574,4269.487305,4464.102539,4475.769043,4361.922852,4436.282227
16,4168.077148,4200.641113,4159.615234,4271.666504,4464.871582,4474.615234,4363.333496,4436.666504
17,4169.871582,4204.230957,4161.153809,4272.436035,4465.128418,4474.102539,4363.077148,4435.384766
18,4172.948730,4209.871582,4161.922852,4273.205078,4465.000000,4474.487305,4362.563965,4433.974121
19,4175.000000,4214.230957,4162.051270,4274.230957,4464.743652,4475.641113,4363.333496,4432.436035
20,4173.974121,4214.230957,4160.769043,4274.102539,4465.000000,4476.794922,4365.512695,4429.487305
21,4170.512695,4208.589844,4157.692383,4271.153809,4465.769043,4477.692383,4368.333496,4425.128418
22,4166.666504,4199.615234,4153.589844,4266.153809,4466.538574,4477.692383,4371.153809,4421.410156
