,EEG.F3,EEG.F4,EEG.FC5,EEG.FC6,EEG.P7,EEG.P8,EEG.T7,EEG.T8
0,4215.128418,4537.179688,4199.871582,4472.563965,4374.358887,4373.333496,4339.743652,4350.384766
1,4214.743652,4536.282227,4199.230957,4468.077148,4373.846191,4372.436035,4337.948730,4345.512695
2,4214.615234,4535.256348,4199.743652,4462.948730,4373.077148,4372.436035,4336.922852,4341.922852
3,4215.641113,4534.487305,4200.512695,4459.487305,4372.307617,4372.820313,4336.922852,4340.384766
4,4217.436035,4535.000000,4200.897461,4459.102539,4372.179688,4372.563965,4337.436035,4340.641113
5,4219.102539,4536.794922,4200.256348,4460.384766,4372.820313,4370.897461,4337.563965,4341.410156
6,4219.487305,4538.461426,4198.974121,4461.410156,4373.205078,4367.948730,4336.538574,4341.538574
7,4218.205078,4538.461426,4197.692383,4460.769043,4371.538574,4364.615234,4335.128418,4340.641113
8,4216.153809,4536.666504,4196.666504,4459.615234,4367.051270,4361.153809,4334.230957,4339.487305
9,4214.615234,4535.128418,4196.538574,4459.871582,4361.025879,4358.205078,4334.871582,4339.102539
10,4215.000000,4536.410156,4197.948730,4462.692383,4356.410156,4356.922852,4337.051270,4339.871582
11,4217.820313,4541.282227,4201.666504,4467.948730,4355.641113,4358.846191,4339.871582,4342.179688
12,4222.820313,4548.333496,4207.307617,4473.589844,4359.230957,4364.743652,4342.307617,4345.512695
13,4228.461426,4554.743652,4212.820313,4477.820313,4365.000000,4372.948730,4343.974121,4349.230957
14,4232.948730,4557.820313,4215.769043,4479.743652,4370.000000,4380.384766,4344.487305,4352.436035
15,4234.615234,4556.538574,4214.230957,4479.743652,4372.436035,4383.974121,4344.102539,4353.846191
16,4232.179688,4551.922852,4208.974121,4478.974121,4372.692383,4382.436035,4343.205078,4352.692383
17,4226.922852,4546.410156,4202.948730,4477.436035,4371.922852,4377.436035,4342.436035,4349.102539
18,4221.282227,4542.307617,4199.487305,4474.871582,4371.538574,4372.307617,4341.794922,4344.743652
19,4217.692383,4540.641113,4199.743652,4471.538574,4371.538574,4370.000000,4341.666504,4341.922852
20,4216.794922,4540.384766,4201.666504,4467.436035,4372.051270,4371.410156,4341.666504,4341.538574
21,4217.051270,4540.128418,4201.794922,4463.077148,4372.436035,4374.358887,4341.922852,4342.307617
22,4215.641113,4538.461426,4197.692383,4458.974121,4372.820313,4375.769043,4342.179688,4342.307617
23,4211.410156,4536.153809,4190.256348,4455.384766,4373.205078,4373.461426,4342.179688,4340.641113
24,4205.256348,4534.358887,4184.102539,4452.179688,4373.717773,4367.948730,4341.922852,4337.307617
25,4199.615234,4534.230957,4182.948730,4448.589844,4374.102539,4361.153809,4341.153809,4333.205078
26,4197.436035,4535.384766,4187.436035,4444.743652,4373.461426,4356.025879,4340.512695,4328.589844
27,4199.871582,4536.794922,4194.230957,4441.666504,4371.794922,4353.846191,4341.025879,4324.487305
28,4205.000000,4537.692383,4199.743652,4440.897461,4370.512695,4354.358887,4343.205078,4322.436035
29,4210.128418,4538.589844,4203.077148,4443.333496,4371.153809,4356.410156,4347.179688,4323.717773
30,4212.948730,4540.512695,4205.384766,4448.589844,4374.358887,4359.102539,4351.282227,4328.333496
31,4214.102539,4543.717773,4207.563965,4455.000000,4378.333496,4362.179688,4353.974121,4334.230957
32,4215.769043,4548.461426,4209.615234,4460.128418,4381.153809,4365.256348,4353.846191,4339.230957
33,4219.871582,4553.333496,4210.128418,4462.948730,4381.410156,4368.205078,4351.025879,4341.794922
34,4225.512695,4556.410156,4208.333496,4463.717773,4379.230957,4370.512695,4346.410156,4341.794922
35,4230.256348,4556.666504,4204.615234,4464.102539,4375.897461,4371.666504,4341.922852,4340.128418
36,4232.307617,4554.743652,4200.641113,4465.897461,4373.333496,4371.794922,4338.717773,4338.589844
37,4231.794922,4553.205078,4198.461426,4469.487305,4372.307617,4372.179688,4337.563965,4338.589844
38,4231.153809,4554.102539,4198.974121,4473.974121,4372.948730,4373.846191,4337.563965,4340.897461
39,4231.794922,4557.307617,4201.153809,4477.820313,4374.230957,4377.179688,4338.205078,4344.358887
40,4233.461426,4560.512695,4203.077148,4479.615234,4375.384766,4381.153809,4338.846191,4347.051270
41,4234.230957,4561.282227,4203.077148,4479.230957,4375.769043,4384.358887,4339.102539,4347.692383
42,4231.922852,4559.230957,4201.538574,4477.820313,4375.000000,4386.153809,4338.461426,4346.666504
43,4226.410156,4556.153809,4199.615234,4476.410156,4373.077148,4386.282227,4336.666504,4345.128418
44,4219.743652,4553.846191,4198.333496,4475.512695,4370.384766,4385.256348,4334.358887,4343.974121
45,4215.256348,4552.563965,4198.205078,4475.256348,4368.205078,4383.589844,4332.820313,4343.589844
46,4214.487305,4551.282227,4198.846191,4475.128418,4367.179688,4381.922852,4333.205078,4344.102539
47,4216.666504,4548.974121,4199.615234,4475.000000,4367.948730,4380.897461,4335.384766,4345.256348
48,4219.230957,4545.256348,4200.384766,4474.102539,4369.615234,4379.871582,4338.205078,4345.897461
49,4220.000000,4541.025879,4200.769043,4471.922852,4370.769043,4377.563965,4339.615234,4344.487305
