,EEG.F3,EEG.F4,EEG.FC5,EEG.FC6,EEG.P7,EEG.P8,EEG.T7,EEG.T8
0,4199.743652,4535.128418,4171.666504,4507.307617,4328.717773,4359.487305,4292.307617,4327.948730
1,4199.871582,4535.256348,4171.666504,4506.282227,4328.077148,4358.205078,4293.077148,4326.282227
2,4200.512695,4531.025879,4171.666504,4506.538574,4327.820313,4353.846191,4292.436035,4324.743652
3,4200.769043,4525.000000,4171.025879,4507.051270,4327.948730,4348.205078,4289.358887,4324.230957
4,4199.230957,4520.384766,4169.102539,4506.538574,4327.307617,4343.974121,4284.487305,4325.128418
5,4195.000000,4519.102539,4165.641113,4505.000000,4324.743652,4342.948730,4279.743652,4326.794922
6,4189.230957,4520.897461,4162.051270,4502.820313,4320.641113,4344.487305,4276.922852,4327.948730
7,4184.615234,4522.948730,4160.000000,4499.871582,4317.051270,4345.000000,4276.666504,4326.794922
8,4183.333496,4522.436035,4160.769043,4495.769043,4316.410156,4341.282227,4278.333496,4322.948730
9,4186.025879,4518.461426,4164.615234,4490.000000,4319.102539,4332.307617,4280.769043,4317.051270
10,4190.897461,4512.307617,4169.358887,4483.589844,4323.589844,4320.512695,4282.692383,4311.538574
11,4195.769043,4507.307617,4172.436035,4478.846191,4327.051270,4310.000000,4284.230957,4308.589844
12,4198.974121,4506.025879,4172.692383,4478.333496,4328.205078,4303.846191,4285.769043,4308.333496
13,4200.128418,4509.230957,4171.282227,4483.077148,4327.692383,4302.436035,4287.948730,4309.230957
14,4200.769043,4516.410156,4170.641113,4490.897461,4327.820313,4304.743652,4290.641113,4309.487305
15,4202.563965,4525.769043,4172.307617,4498.717773,4330.384766,4309.230957,4293.205078,4308.846191
16,4206.666504,4535.128418,4175.641113,4504.358887,4335.256348,4315.256348,4295.000000,4308.461426
17,4212.307617,4542.692383,4178.205078,4507.820313,4340.128418,4321.922852,4295.769043,4309.615234
18,4217.179688,4547.563965,4178.461426,4510.641113,4342.692383,4327.692383,4295.641113,4312.563965
19,4219.743652,4550.384766,4176.922852,4513.461426,4342.179688,4331.282227,4295.384766,4316.538574
20,4219.487305,4552.436035,4175.512695,4515.512695,4339.743652,4332.820313,4295.512695,4319.743652
21,4217.692383,4554.230957,4176.282227,4515.641113,4338.461426,4333.717773,4296.410156,4321.025879
22,4216.794922,4555.000000,4179.358887,4513.333496,4340.000000,4335.384766,4298.461426,4320.384766
23,4217.692383,4553.717773,4183.077148,4510.256348,4343.333496,4337.692383,4300.641113,4318.461426
24,4220.000000,4549.743652,4185.512695,4508.461426,4345.512695,4339.230957,4301.666504,4316.282227
25,4221.410156,4543.717773,4185.256348,4508.205078,4343.846191,4338.205078,4300.512695,4314.102539
26,4220.000000,4536.794922,4181.922852,4507.948730,4338.461426,4333.846191,4297.563965,4311.666504
27,4215.641113,4529.871582,4176.666504,4505.641113,4331.666504,4327.692383,4294.358887,4309.102539
28,4209.487305,4522.692383,4171.666504,4501.025879,4326.538574,4322.820313,4292.179688,4307.179688
29,4203.333496,4515.512695,4168.589844,4495.384766,4325.000000,4322.307617,4291.538574,4306.922852
30,4198.205078,4508.846191,4167.179688,4490.769043,4326.153809,4326.153809,4292.051270,4308.461426
31,4194.102539,4504.230957,4166.794922,4489.102539,4327.820313,4331.794922,4292.563965,4310.641113
32,4192.179688,4502.820313,4167.051270,4490.512695,4328.077148,4335.512695,4292.692383,4312.051270
33,4193.333496,4505.641113,4168.717773,4494.102539,4327.051270,4335.256348,4292.692383,4312.179688
34,4197.820313,4512.051270,4171.922852,4498.205078,4325.384766,4331.922852,4293.717773,4311.538574
35,4204.358887,4520.384766,4176.282227,4501.794922,4324.358887,4327.948730,4296.153809,4311.282227
36,4210.641113,4527.692383,4180.897461,4504.487305,4324.743652,4325.512695,4299.487305,4311.666504
37,4214.743652,4532.307617,4184.743652,4506.410156,4326.410156,4325.000000,4302.948730,4312.436035
38,4216.025879,4534.230957,4187.179688,4507.692383,4328.846191,4325.512695,4305.384766,4312.948730
39,4215.641113,4534.871582,4187.692383,4508.461426,4331.025879,4326.282227,4306.025879,4312.948730
40,4215.256348,4535.512695,4187.051270,4508.589844,4332.051270,4326.538574,4305.256348,4312.436035
41,4215.512695,4535.897461,4186.153809,4507.948730,4331.922852,4326.282227,4303.461426,4311.666504
42,4216.025879,4535.512695,4185.897461,4506.922852,4331.025879,4326.025879,4301.025879,4310.769043
43,4215.256348,4533.461426,4185.641113,4505.641113,4329.615234,4325.384766,4298.846191,4310.256348
44,4212.692383,4530.000000,4184.487305,4504.230957,4328.333496,4323.846191,4297.051270,4310.000000
45,4208.717773,4526.282227,4182.179688,4503.461426,4327.307617,4321.794922,4295.897461,4309.871582
46,4204.743652,4523.461426,4179.230957,4503.717773,4326.922852,4321.282227,4295.512695,4310.512695
47,4201.922852,4522.436035,4176.025879,4505.000000,4327.307617,4324.743652,4295.641113,4312.948730
48,4200.384766,4523.333496,4173.077148,4506.794922,4328.846191,4332.820313,4295.897461,4317.436035
49,4199.871582,4525.000000,4170.641113,4507.692383,4331.282227,4342.436035,4296.282227,4322.563965
50,4199.487305,4526.282227,4168.846191,4507.436035,4333.974121,4348.846191,4296.282227,4326.025879
51,4198.589844,4526.025879,4167.820313,4506.410156,4336.410156,4349.743652,4295.641113,4326.025879
52,4197.436035,4525.000000,4167.051270,4505.641113,4337.692383,4346.666504,4294.615234,4323.461426
53,4196.666504,4524.615234,4166.538574,4505.897461,4337.692383,4343.333496,4293.461426,4320.641113
54,4196.410156,4525.000000,4166.794922,4506.666504,4336.282227,4342.692383,4292.948730,4320.384766
55,4196.410156,4524.871582,4168.717773,4507.179688,4334.230957,4343.846191,4293.589844,4322.948730
56,4196.153809,4522.563965,4172.563965,4506.922852,4332.563965,4343.461426,4295.384766,4326.410156
57,4196.153809,4518.589844,4177.307617,4506.025879,4331.153809,4338.846191,4297.948730,4327.820313
58,4197.692383,4515.000000,4181.153809,4505.000000,4329.230957,4330.256348,4300.512695,4326.025879
59,4201.666504,4514.102539,4183.589844,4504.615234,4326.538574,4321.794922,4302.692383,4322.563965
60,4207.820313,4516.538574,4185.384766,4505.128418,4324.487305,4317.692383,4304.615234,4320.512695
61,4214.358887,4521.153809,4187.692383,4506.538574,4325.000000,4318.846191,4306.666504,4321.410156
62,4219.230957,4525.641113,4191.025879,4508.077148,4328.846191,4322.436035,4308.974121,4324.615234
63,4221.153809,4528.077148,4194.358887,4508.717773,4334.871582,4324.230957,4311.410156,4328.077148
64,4220.769043,4528.205078,4195.769043,4508.205078,4340.641113,4322.436035,4313.846191,4329.230957
65,4218.974121,4526.922852,4194.358887,4506.794922,4344.358887,4319.615234,4315.384766,4327.820313
66,4217.436035,4525.128418,4190.512695,4505.769043,4345.641113,4319.743652,4315.256348,4325.128418
67,4216.282227,4523.589844,4185.769043,4505.384766,4345.000000,4324.615234,4312.563965,4323.589844
68,4215.384766,4522.436035,4182.563965,4505.128418,4343.846191,4332.563965,4307.948730,4323.974121
69,4213.589844,4522.307617,4181.922852,4504.487305,4342.948730,4339.615234,4302.692383,4325.512695
70,4210.256348,4523.589844,4183.077148,4503.589844,4342.692383,4343.205078,4298.333496,4327.051270
71,4205.897461,4527.051270,4183.717773,4503.589844,4342.692383,4343.205078,4296.025879,4327.436035
72,4201.922852,4532.179688,4182.563965,4505.897461,4342.179688,4341.410156,4295.641113,4327.179688
73,4199.743652,4537.307617,4179.615234,4510.769043,4339.871582,4340.128418,4296.153809,4327.051270
74,4199.358887,4540.769043,4176.153809,4517.179688,4335.897461,4340.769043,4296.282227,4327.563965
75,4199.743652,4542.179688,4173.589844,4522.948730,4331.538574,4343.333496,4295.384766,4328.589844
76,4200.512695,4542.948730,4172.563965,4526.282227,4328.077148,4345.769043,4294.102539,4329.102539
77,4201.025879,4543.461426,4172.307617,4526.538574,4326.410156,4346.025879,4293.717773,4328.717773
78,4201.025879,4542.692383,4172.692383,4524.230957,4326.025879,4343.461426,4294.358887,4327.948730
79,4200.128418,4539.615234,4173.333496,4520.769043,4326.666504,4338.717773,4295.000000,4327.307617
80,4198.974121,4534.615234,4173.846191,4517.563965,4327.692383,4333.461426,4295.000000,4327.179688
81,4198.846191,4529.743652,4174.102539,4514.743652,4328.461426,4329.358887,4293.974121,4327.179688
82,4200.897461,4527.179688,4174.615234,4512.051270,4328.461426,4327.307617,4293.205078,4326.666504
83,4205.512695,4527.820313,4177.179688,4509.615234,4327.436035,4326.922852,4294.487305,4325.641113
84,4211.025879,4530.512695,4182.692383,4507.563965,4326.538574,4327.436035,4298.333496,4324.230957
85,4215.769043,4533.717773,4189.743652,4506.666504,4326.282227,4327.436035,4303.333496,4323.077148
86,4218.717773,4536.410156,4195.897461,4507.179688,4327.179688,4326.794922,4307.307617,4323.077148
87,4219.871582,4538.333496,4198.974121,4508.846191,4328.717773,4325.897461,4308.589844,4324.487305
88,4219.871582,4539.102539,4198.205078,4510.641113,4330.256348,4325.512695,4307.051270,4326.666504
89,4218.589844,4538.205078,4194.230957,4512.179688,4331.153809,4325.641113,4303.717773,4328.077148
90,4215.641113,4535.256348,4188.589844,4512.307617,4330.641113,4326.025879,4300.384766,4327.563965
91,4211.410156,4530.256348,4182.307617,4509.743652,4328.589844,4326.153809,4297.436035,4325.000000
92,4206.410156,4524.615234,4176.538574,4504.230957,4326.282227,4326.153809,4295.128418,4321.666504
93,4201.025879,4520.128418,4171.922852,4497.051270,4325.256348,4327.307617,4293.205078,4319.358887
94,4196.666504,4518.205078,4168.846191,4491.153809,4327.051270,4330.897461,4291.794922,4318.846191
95,4194.487305,4518.846191,4167.179688,4489.358887,4331.025879,4337.179688,4291.410156,4320.000000
96,4194.615234,4520.641113,4166.282227,4492.436035,4335.128418,4344.358887,4292.051270,4321.794922
97,4195.512695,4522.307617,4165.384766,4498.717773,4337.179688,4350.384766,4293.333496,4323.333496
98,4195.128418,4523.077148,4164.102539,4505.128418,4336.666504,4353.846191,4293.846191,4324.358887
99,4192.563965,4523.461426,4162.307617,4508.717773,4334.871582,4354.743652,4292.948730,4325.128418
100,4189.102539,4524.615234,4160.897461,4509.102539,4334.102539,4354.358887,4290.641113,4325.384766
101,4187.563965,4527.051270,4160.897461,4507.820313,4335.512695,4354.487305,4288.589844,4325.384766
102,4189.871582,4530.512695,4162.948730,4507.179688,4338.077148,4355.384766,4288.205078,4325.384766
103,4194.743652,4533.589844,4166.282227,4508.846191,4339.743652,4356.410156,4289.615234,4325.384766
104,4199.487305,4535.000000,4168.974121,4511.666504,4338.461426,4356.153809,4292.051270,4325.384766
105,4201.922852,4534.743652,4169.358887,4513.461426,4334.358887,4353.846191,4293.846191,4325.128418
106,4202.436035,4534.102539,4168.717773,4512.820313,4329.487305,4350.000000,4294.102539,4324.871582
107,4202.692383,4534.743652,4169.871582,4510.769043,4327.051270,4346.153809,4293.846191,4325.128418
108,4204.871582,4536.794922,4174.102539,4509.487305,4328.717773,4343.077148,4295.000000,4326.025879
109,4209.615234,4539.102539,4180.384766,4509.102539,4333.205078,4340.769043,4298.461426,4326.794922
110,4215.769043,4539.615234,4186.410156,4508.461426,4338.077148,4337.307617,4303.974121,4326.025879
111,4221.025879,4536.538574,4190.384766,4505.769043,4341.153809,4331.025879,4309.487305,4323.205078
112,4223.205078,4530.000000,4191.538574,4500.897461,4342.436035,4321.922852,4313.205078,4318.846191
113,4221.922852,4522.179688,4190.256348,4495.128418,4343.205078,4312.179688,4313.974121,4314.487305
114,4218.589844,4516.282227,4186.922852,4490.384766,4343.717773,4305.512695,4311.922852,4311.282227
115,4214.358887,4513.589844,4182.692383,4487.692383,4343.589844,4304.358887,4307.563965,4309.743652
116,4209.743652,4513.846191,4178.077148,4487.307617,4341.922852,4308.717773,4302.179688,4309.871582
117,4204.743652,4515.384766,4173.974121,4488.846191,4339.102539,4315.769043,4297.179688,4311.282227
118,4200.384766,4517.051270,4171.025879,4492.179688,4336.666504,4322.563965,4294.487305,4313.717773
119,4198.077148,4519.487305,4169.102539,4496.410156,4335.897461,4328.077148,4294.102539,4317.307617
120,4198.205078,4523.846191,4167.179688,4501.282227,4336.410156,4333.077148,4295.000000,4321.410156
121,4199.743652,4530.000000,4164.230957,4505.769043,4336.538574,4338.205078,4294.615234,4325.000000
122,4200.512695,4535.512695,4159.743652,4508.846191,4334.615234,4343.077148,4291.666504,4327.179688
123,4199.487305,4537.563965,4155.384766,4509.871582,4330.769043,4346.666504,4286.538574,4327.307617
124,4197.307617,4536.025879,4153.846191,4509.230957,4326.922852,4347.948730,4281.410156,4325.641113
125,4196.025879,4533.333496,4156.538574,4508.205078,4325.000000,4347.051270,4278.974121,4323.333496
126,4196.538574,4532.307617,4162.051270,4507.820313,4325.256348,4344.743652,4280.256348,4322.179688
127,4198.333496,4533.589844,4167.307617,4508.589844,4326.538574,4342.820313,4283.974121,4322.563965
128,4199.615234,4535.512695,4170.384766,4510.000000,4326.794922,4342.820313,4287.948730,4323.589844
129,4200.000000,4535.769043,4171.410156,4510.641113,4325.512695,4344.230957,4290.512695,4323.589844
130,4199.871582,4533.846191,4172.563965,4509.230957,4323.846191,4345.384766,4291.282227,4322.307617
131,4200.512695,4531.538574,4175.384766,4506.282227,4323.589844,4344.102539,4291.538574,4320.769043
132,4202.563965,4530.256348,4179.102539,4503.717773,4324.871582,4339.743652,4292.307617,4320.512695
133,4205.897461,4531.410156,4182.436035,4504.230957,4326.025879,4334.358887,4293.717773,4322.179688
134,4209.358887,4534.743652,4184.487305,4508.846191,4325.256348,4330.384766,4295.000000,4324.615234
135,4212.563965,4539.102539,4185.641113,4515.512695,4322.692383,4328.846191,4295.256348,4327.051270
136,4215.512695,4542.692383,4186.922852,4521.025879,4319.871582,4327.948730,4294.743652,4329.102539
137,4218.333496,4543.846191,4188.717773,4522.692383,4318.589844,4325.128418,4294.358887,4330.000000
138,4220.641113,4541.538574,4190.256348,4519.358887,4319.615234,4319.615234,4295.000000,4328.717773
139,4221.282227,4536.153809,4190.256348,4512.692383,4322.307617,4313.461426,4296.153809,4325.256348
140,4218.974121,4529.487305,4187.436035,4505.641113,4325.769043,4310.128418,4296.410156,4321.153809
141,4214.102539,4524.230957,4181.794922,4500.384766,4328.717773,4311.922852,4294.871582,4317.820313
142,4208.589844,4521.538574,4174.230957,4497.563965,4330.641113,4318.077148,4291.666504,4316.153809
143,4204.358887,4521.410156,4166.538574,4495.641113,4331.410156,4325.128418,4287.692383,4315.512695
144,4201.922852,4521.794922,4160.384766,4493.461426,4331.538574,4329.743652,4284.102539,4314.871582
145,4199.743652,4520.384766,4156.538574,4490.641113,4331.153809,4330.769043,4281.538574,4313.589844
146,4196.025879,4515.769043,4154.102539,4487.948730,4330.641113,4329.615234,4280.128418,4311.538574
147,4190.769043,4509.358887,4152.436035,4486.538574,4330.384766,4329.358887,4279.871582,4309.487305
148,4185.769043,4504.615234,4151.410156,4486.538574,4331.153809,4331.410156,4280.512695,4308.461426
149,4183.589844,4504.102539,4151.922852,4487.051270,4333.077148,4335.128418,4281.410156,4309.102539
150,4185.256348,4507.563965,4154.230957,4487.051270,4335.641113,4338.205078,4282.948730,4311.025879
151,4189.230957,4512.179688,4158.717773,4486.794922,4337.436035,4338.205078,4285.256348,4313.077148
152,4193.333496,4515.256348,4163.974121,4486.922852,4336.794922,4334.487305,4288.333496,4314.102539
153,4195.897461,4515.897461,4168.461426,4487.820313,4333.461426,4328.461426,4290.897461,4313.717773
154,4197.436035,4515.256348,4171.025879,4488.589844,4329.358887,4322.307617,4292.051270,4312.563965
155,4200.512695,4515.769043,4172.307617,4488.461426,4327.051270,4317.436035,4292.051270,4311.794922
156,4206.153809,4518.333496,4173.717773,4488.205078,4327.051270,4313.333496,4292.436035,4311.922852
157,4213.333496,4522.051270,4176.538574,4489.487305,4328.077148,4309.358887,4293.846191,4312.179688
158,4218.717773,4525.256348,4180.512695,4492.692383,4327.692383,4304.615234,4294.871582,4311.538574
159,4220.384766,4527.307617,4184.102539,4497.051270,4324.615234,4299.615234,4293.974121,4310.256348
160,4218.717773,4529.358887,4186.025879,4501.410156,4319.230957,4295.256348,4290.384766,4309.102539
161,4216.153809,4533.461426,4185.512695,4505.384766,4312.820313,4293.077148,4285.641113,4309.358887
162,4215.000000,4539.871582,4183.589844,4508.974121,4307.820313,4293.205078,4282.179688,4311.538574
163,4216.153809,4546.794922,4181.410156,4512.051270,4306.410156,4295.128418,4281.922852,4314.871582
164,4218.205078,4551.282227,4179.358887,4514.102539,4308.846191,4297.436035,4285.000000,4317.820313
165,4219.102539,4550.769043,4177.051270,4515.000000,4312.692383,4298.974121,4288.974121,4318.589844
166,4217.307617,4546.025879,4173.846191,4514.743652,4315.769043,4300.384766,4291.538574,4316.794922
167,4212.820313,4540.512695,4170.512695,4513.077148,4317.307617,4303.205078,4291.410156,4313.974121
168,4207.436035,4537.692383,4168.077148,4510.128418,4318.846191,4309.230957,4289.487305,4312.436035
169,4203.461426,4538.205078,4166.410156,4506.282227,4322.179688,4318.461426,4287.692383,4313.974121
170,4201.922852,4539.487305,4165.000000,4502.051270,4327.179688,4328.461426,4287.051270,4318.205078
171,4201.666504,4538.333496,4163.205078,4497.692383,4332.051270,4336.153809,4287.307617,4322.948730
172,4201.282227,4533.077148,4161.538574,4493.589844,4334.743652,4340.512695,4287.307617,4325.512695
173,4200.256348,4525.384766,4160.897461,4490.000000,4334.358887,4342.436035,4286.282227,4324.871582
174,4198.974121,4518.205078,4162.051270,4487.051270,4332.307617,4343.461426,4285.384766,4321.666504
