,EEG.F3,EEG.F4,EEG.FC5,EEG.FC6,EEG.P7,EEG.P8,EEG.T7,EEG.T8
0,4203.461426,4528.205078,4198.974121,4496.794922,4324.487305,4344.871582,4306.153809,4343.717773
1,4205.384766,4530.128418,4200.384766,4496.794922,4327.820313,4343.205078,4310.641113,4343.974121
2,4206.153809,4528.077148,4197.948730,4495.897461,4332.179688,4342.179688,4313.205078,4340.512695
3,4203.717773,4521.794922,4192.563965,4493.077148,4336.282227,4340.897461,4313.205078,4334.615234
4,4197.692383,4513.717773,4186.410156,4487.692383,4339.230957,4338.589844,4311.282227,4328.589844
5,4190.256348,4506.922852,4181.666504,4480.384766,4341.153809,4334.871582,4309.230957,4324.871582
6,4185.128418,4502.948730,4178.846191,4472.692383,4342.179688,4331.153809,4307.692383,4324.102539
7,4184.102539,4501.282227,4177.307617,4466.538574,4342.692383,4329.230957,4306.025879,4324.743652
8,4185.641113,4499.871582,4175.256348,4462.692383,4342.948730,4329.487305,4303.077148,4324.743652
9,4186.538574,4497.307617,4171.666504,4460.769043,4343.205078,4331.538574,4298.717773,4322.820313
10,4184.615234,4493.589844,4167.051270,4459.743652,4343.589844,4334.102539,4295.000000,4319.615234
11,4179.871582,4489.743652,4162.820313,4459.230957,4343.974121,4336.538574,4293.333496,4317.179688
12,4173.846191,4486.538574,4160.897461,4459.230957,4344.358887,4338.461426,4293.717773,4317.051270
13,4168.717773,4485.000000,4161.666504,4459.487305,4344.743652,4340.000000,4294.230957,4318.846191
14,4166.282227,4485.641113,4163.717773,4459.230957,4344.487305,4340.384766,4293.974121,4320.897461
15,4167.436035,4487.563965,4166.025879,4458.461426,4343.333496,4339.102539,4293.077148,4322.051270
16,4171.410156,4489.358887,4167.692383,4457.692383,4341.794922,4335.512695,4293.205078,4321.922852
17,4176.794922,4490.256348,4169.230957,4457.820313,4340.384766,4330.512695,4295.128418,4321.282227
18,4181.282227,4490.641113,4171.025879,4459.615234,4339.871582,4326.025879,4298.589844,4320.641113
19,4184.102539,4491.410156,4174.230957,4463.077148,4339.487305,4323.461426,4302.179688,4320.256348
20,4185.512695,4492.820313,4179.230957,4467.692383,4338.077148,4323.333496,4305.128418,4320.256348
21,4186.410156,4495.769043,4184.871582,4473.077148,4335.512695,4324.743652,4307.307617,4321.282227
22,4188.461426,4500.512695,4188.846191,4478.717773,4332.179688,4326.025879,4309.102539,4323.333496
23,4192.179688,4506.922852,4189.358887,4483.846191,4328.974121,4325.641113,4310.384766,4325.897461
24,4197.307617,4514.102539,4188.077148,4488.077148,4326.922852,4323.974121,4311.666504,4328.077148
25,4202.436035,4520.512695,4187.820313,4491.025879,4326.025879,4322.563965,4313.077148,4328.717773
26,4206.282227,4525.256348,4190.384766,4493.077148,4326.025879,4323.461426,4314.102539,4327.948730
27,4208.205078,4528.077148,4194.487305,4494.102539,4326.538574,4327.563965,4314.230957,4326.410156
28,4207.820313,4528.974121,4197.436035,4494.487305,4327.820313,4333.717773,4313.461426,4325.641113
29,4206.153809,4528.461426,4197.436035,4494.615234,4330.000000,4339.358887,4312.436035,4325.897461
30,4204.487305,4527.179688,4194.743652,4494.230957,4333.205078,4342.436035,4312.051270,4327.051270
31,4203.461426,4525.641113,4190.512695,4492.948730,4336.922852,4343.205078,4311.922852,4328.333496
32,4202.436035,4523.846191,4186.153809,4490.384766,4340.256348,4343.461426,4311.282227,4328.846191
33,4200.769043,4521.922852,4182.051270,4486.922852,4342.307617,4344.871582,4309.230957,4328.461426
34,4198.205078,4519.615234,4177.948730,4483.333496,4342.948730,4347.563965,4305.769043,4327.436035
