F3,F4,FC5,FC6,P7,P8,T7,T8
5.43133437144062725110,5.81259843897535333213,6.22465064316372185260,6.67001766284000119356,7.15021502041788270532,7.66271712709230801153,8.20093180243443953259,8.76063743055580523844
8.19282354620716013471,8.58148607258521600727,9.00202200923584427983,9.45697350245502121879,9.94783470840293837512,10.47190057523707551468,11.02225846244353668624,11.59447054930777909476
6.37643248518451866147,6.82630322216804685809,7.31448472304661301280,7.84387212849774950740,8.41615611524110285302,9.02818112258665905756,9.67196845310708219756,10.34234996360497582657
1.46335238463386918539,2.00443894330517435876,2.59311168753922549612,3.23282348885563131091,3.92560337997393071774,4.66773357664630328401,5.44980609419939376892,6.26567489768286201013
-3.90099084050565503290,-3.28396356322664750849,-2.61176612666273921803,-1.88049967658963734785,-1.08786695767432961546,-0.23804776048784859199,0.65838473103529449038,1.59448249068059189071
-8.25858269413427414918,-7.60750800048509656648,-6.89783942601353938784,-6.12556512649332152165,-5.28835033201773896394,-4.39065715025159164497,-3.44363627717867570865,-2.45465424822706079766
-10.99713060436532074959,-10.34581998180990503045,-9.63603570843287293712,-8.86393073018360233561,-8.02732951027558705448,-7.13084709911478942246,-6.18576014003308660705,-5.19955626927067182663
-13.10473626798324886522,-12.44161693892552023044,-11.71963091413823754294,-10.93501093235083843069,-10.08568241944685262013,-9.17645586984500916117,-8.21888803922079347331,-7.22067708584709322395
-15.55071842788722413786,-14.82599373137218101704,-14.03798830328910440812,-13.18258402076042479223,-12.25749306883912836952,-11.26785993280111952686,-10.22613388709371662344,-9.14059818201708296215
-18.72968321239940081568,-17.89331605337371300379,-16.98513828856099650011,-16.00021619201968192669,-14.93570076833431770069,-13.79717396322481448578,-12.59855696788832624122,-11.34906536372840335503
-22.74089396914369842762,-21.78429228042939413967,-20.74651543345878224045,-19.62169526201704883306,-18.40632196772525119854,-17.10638650496471058204,-15.73733236785201050623,-14.30932923814304658094
-27.03232646316241982731,-25.99864198057773378991,-24.87773575714793139468,-23.66314140502814566958,-22.35092514839103117197,-20.94733544523491985956,-19.46878193099179910064,-17.92604135092356187897
-30.93336973096124253857,-29.88767024339620803630,-28.75390167363002547063,-27.52554799122224338248,-26.19865467590048879742,-24.77956648797045247079,-23.28490572218699128371,-21.72559133029121625214
-33.72383957147754784955,-32.71791891456110334957,-31.62721478774967565073,-30.44559443982666024908,-29.16940177591881777630,-27.80495561124631365146,-26.36850510783698098294,-24.87074866177821164115
-34.81762153794766589954,-33.86538206117855764887,-32.83266653450554173332,-31.71381726252141319833,-30.50553663206433796518,-29.21405276312766119418,-27.85504828216168249355,-26.43887691656792071626
-34.40211980958069659664,-33.48368266424801475978,-32.48741385857423580319,-31.40792110975565165631,-30.24209451900236444999,-28.99604680561500913427,-27.68502971151517400017,-26.31912756264244634963
-32.98379571960232681249,-32.07132865909037633401,-31.08142554708244631456,-30.00867041238669941094,-28.84990947863175136945,-27.61112489853480056468,-26.30735917050878924783,-24.94855093056317940636
-30.90872963981069077022,-29.98675495370634891401,-28.98642153929338860507,-27.90211309063656131002,-26.73049613890994891108,-25.47744200864416797003,-24.15796998904369985439,-22.78197564991969770176
-28.39988291592013425202,-27.47108954786431667117,-26.46299795796479870091,-25.36980797547654731261,-24.18803324485788053266,-22.92350655627208411147,-21.59133403311062338048,-20.20143553832857463703
-25.48743384078146334559,-24.56318091068492748263,-23.55947879465887950801,-22.47047777039060179050,-21.29266396782906767271,-20.03193142050633568374,-18.70353134895847801999,-17.31745292962308013784
-22.41348717273716673049,-21.50726606836548171486,-20.52286431824981249861,-19.45453697601536902084,-18.29886947859391099769,-17.06183830602653728192,-15.75874970831355881273,-14.39960956378333989392
-19.89405615350313283329,-19.02136578231999664013,-18.07359836544667786029,-17.04526574270833449987,-15.93314998006151483878,-14.74318607670531555698,-13.49039565998046796835,-12.18458940329704098815
-18.42199940919576306442,-17.59974736413593632278,-16.70728675552502195956,-15.73953736364260436176,-14.69355883136449136828,-13.57504197353238062362,-12.39824302723423521400,-11.17248192952614438411
-17.69955993410424355261,-16.94229119233190417049,-16.12088698816545573322,-15.23077964200262179872,-14.26935512809863659811,-13.24188430029771978980,-12.16145932803068419048,-11.03666320190931138256
-16.97305681779087294103,-16.28061240830122713419,-15.52976439250724460805,-14.71641833996987358546,-13.83825126613608524906,-12.90009481624807818889,-11.91387249068010767417,-10.88742347753253625342
-15.84979964605539137779,-15.19680936123651271430,-14.48872219487020629458,-13.72169572804997983440,-12.89356393448182380723,-12.00893440049263816150,-11.07912481714814312284,-10.11157719484113926001
-14.68762718191522154143,-14.01914525899200114623,-13.29439597209693246782,-12.50941187641266694186,-11.66196508336683024254,-10.75685326807926145420,-9.80583784537501834677,-8.81662785309301888503
-14.07578110774008628425,-13.33185577778654362646,-12.52581504745817397861,-11.65320295625432223119,-10.71151976640265957030,-9.70615794838085932383,-8.65034525497532591487,-7.55271984747179381259
-13.93325896697743360164,-13.09482656071366690753,-12.18680917421797360589,-11.20417364244850944033,-10.14409859538980640536,-9.01268040742586151737,-7.82487753845129052621,-6.59044279713974212598
-13.43014521640093228427,-12.51762425369301823252,-11.52927861363860628785,-10.45966600900923282325,-9.30574413626912289033,-8.07415095685391825953,-6.78113856709401918721,-5.43731751627184056730
-12.11365411754284870938,-11.15339609418137989394,-10.11277093937396998058,-8.98613073959080566055,-7.77033237943969457007,-6.47234849942318835048,-5.10917911663549784151,-3.69196543067408100569
-10.59675990813038026772,-9.60583817637462722416,-8.53136629027727089181,-7.36759005597368510365,-6.11131184740232402675,-4.76967133956476985190,-3.36003682087781063714,-1.89383751783844678229
-10.13898219015533541665,-9.12367746950735103439,-8.02272341576776959471,-6.83022144858857682692,-5.54286155561693760774,-4.16779862498984599029,-2.72254644262609790673,-1.21864906013807527962
-11.90470464277750295423,-10.87757503922886037628,-9.76442592836243328236,-8.55917155821529540560,-7.25831518805792974547,-5.86880541425358437380,-4.40796403562216632110,-2.88718680826840268239
-15.88070815972464799870,-14.87843189418973111060,-13.79285640730152806555,-12.61783784480185310883,-11.34973853763761475477,-9.99500152884619375016,-8.57012654981979338231,-7.08592064405083199574
-20.37377300144005687343,-19.43862035902435181356,-18.42568036108968598796,-17.32900831249126127886,-16.14499689844878105305,-14.87941823387149042901,-13.54743165357761114365,-12.15891964698732863326
-23.13137508839248113190,-22.27080890723367900819,-21.33764588049289656624,-20.32628735373328865421,-19.23330659233537076602,-18.06399141747793279933,-16.83234680399896632252,-15.54748316688900544591
-23.17396564728768737496,-22.34350298204132556634,-21.44157387024264949105,-20.46279947989216907445,-19.40392587411590241686,-18.27024559775080803092,-17.07556405682380429312,-15.82888211473231798720
-21.77312662107553720148,-20.90450435477165669340,-19.96055358956309078167,-18.93580898959330482967,-17.82703620492005214260,-16.63999851253546324870,-15.38938520812601851162,-14.08481847506245188129
-21.33163789766673446024,-20.38052976948821637393,-19.34784987444183457228,-18.22778362365244220200,-17.01693257028918182527,-15.72164929024307866712,-14.35795645847950297025,-12.93638446892310334135
-22.96094387386268920181,-21.93008565545495613947,-20.81256524411177366574,-19.60214559995367267220,-18.29516218549960981932,-16.89831739313551750570,-15.42862560695797746746,-13.89727389943331381517
-25.46581183967102646193,-24.38865531906615302660,-23.22227588528003039414,-21.96011763411279460456,-20.59827572420602237457,-19.14350738154292841386,-17.61321280395180011169,-16.01881765896770914992
-26.70780974978781330265,-25.61455985792073519747,-24.43067400593481508508,-23.14943014717722746809,-21.76679196334635690846,-20.28951776034742238153,-18.73515051659779473425,-17.11519881372871410008
-25.66434653317026004515,-24.56299146288446877406,-23.36880431526500956352,-22.07500309183336639762,-20.67754108037496862949,-19.18338360324262126255,-17.61046450626820814023,-15.97056173083335650631
-23.14746443930022223867,-22.03437391409287116062,-20.82558863401947135685,-19.51432487700838436240,-18.09660746353300453393,-16.57979997075600664402,-14.98250591426708666631,-13.31697298024891296109
-20.82028367402109836348,-19.70131096059208175575,-18.48523650738599144461,-17.16531329954197460097,-15.73764759733660767438,-14.20988491357875105336,-12.60107695886380696493,-10.92378392720243063252
-19.75730201098438953977,-18.65192993681882427381,-17.45112617462788051625,-16.14822113754849652878,-14.73936112210832405367,-13.23207432645961389994,-11.64515006937904573192,-9.99096570975001618820
-19.71111493210465326342,-18.63548620828697366392,-17.46832100387912234396,-16.20304023911727853147,-14.83577447599462040273,-13.37358009700045435864,-11.83436631490573098802,-10.22990100080287589890
-19.58218868979492199855,-18.51868250608134403024,-17.36598715387187752413,-16.11749017153245944201,-14.76922358432620541180,-13.32785304541889459529,-11.81065355940969929804,-10.22894448914878218204
-18.61734069595040708123,-17.50840254791101457954,-16.30712269453790952412,-15.00658665608253272694,-13.60262698121139912644,-12.10211121887034124711,-10.52293426466081704973,-8.87680923991773340731
-17.05611083021446106045,-15.85304268464062005251,-14.54970817327709120548,-13.13869717605532905225,-11.61560681410345452491,-9.98812764906268135690,-8.27601520288878234055,-6.49220770656890167061
-15.83932407715986023788,-14.55648810927897507383,-13.16650975008615453987,-11.66161071032234985978,-10.03726346940542946129,-8.30203349835821136082,-6.47751794862469409964,-4.57786861817201629066
-15.70913752341767022358,-14.43149227145697466312,-13.04752258412961118950,-11.54958914837329686520,-9.93331730415652813804,-8.20749186573543632051,-6.39398238018811237993,-4.50711959224036640137
-16.29091418316344785922,-15.12761218799463769358,-13.86878143742843683128,-12.50757302087795608259,-11.04010537953307924397,-9.47445612726148844729,-7.83060375585927737063,-6.12163962011585383038
-16.28320381137854511167,-15.29348810357908305946,-14.22432908150086916521,-13.07002674110248996442,-11.82737432955205214569,-10.50320539215155690727,-9.11436655084823676987,-7.67190481573488813893
-14.78923926163395741185,-13.94757377463720438016,-13.03981682175150247360,-12.06124520118632936772,-11.00921857311334584040,-9.88947870180334476231,-8.71614332429015981063,-7.49848876755305138175
-12.50755255987098557569,-11.73284081513004295516,-10.89741953956687225968,-9.99699971212057292291,-9.02919249061142537016,-7.99925921065471268179,-6.92010275814280451101,-5.80022201454932329057
-11.44206820362156840076,-10.65654983478293260646,-9.80835873485848352971,-8.89310852811378538263,-7.90834924031356933938,-6.85943551009069985014,-5.75950007103434913347,-4.61720280171649211098
-13.00760692606986523856,-12.17924364747659637942,-11.28359001923375259935,-10.31594566381180122505,-9.27366718158407010719,-8.16240786804893936335,-6.99607484220686970389,-5.78383833415789716526
-16.52636094616859452344,-15.66332418367225365330,-14.72962282131648770189,-13.72033139497454534705,-12.63266966536836655166,-11.47251341315446460101,-10.25434275312670706626,-8.98771000107781325994
-19.85361922309790472241,-18.97237147673057222619,-18.01886586680513957504,-16.98812619871130635829,-15.87735492813811255530,-14.69255169024056151272,-13.44845287147740720002,-12.15480128713681473585
-21.47441452141596940351,-20.57884566088366895542,-19.60946816521413182954,-18.56134031203764322981,-17.43171913559885055633,-16.22675580740643752620,-14.96141276491604443777,-13.64562569413355141990
-21.85888276169942656679,-20.94868387988833902114,-19.96230645932261893449,-18.89484256330854705652,-17.74361234868189285407,-16.51497374526180905718,-15.22420005123222708221,-13.88148777877786166357
-22.63734820446600792820,-21.72561430279604977045,-20.73599723001888150975,-19.66362547912453706545,-18.50586245475353308620,-17.26915952468004888942,-15.96889575999528609884,-14.61537954712584941319
-24.77885755693215230622,-23.88094605241564138964,-22.90532388809469566127,-21.84713297745274118711,-20.70371826753055444215,-19.48138782940372948360,-18.19524406629560075999,-16.85541720886179817285
-27.56674612749845820758,-26.67806619339467388841,-25.71274821906605012600,-24.66583566329560284203,-23.53454420961929471900,-22.32490788376079038358,-21.05164071371861211901,-19.72458098731045339491
-28.92851278480005561278,-28.01837384311230394474,-27.03099403207454898279,-25.96114425155545291091,-24.80580658661391169062,-23.57090839940328663715,-22.27122988679738568862,-20.91660360559451348195
-27.08955250237697498505,-26.11500403712838647152,-25.05875707983110700638,-23.91513767122136258081,-22.68083687929962621865,-21.36209358931081325750,-19.97462661627995927915,-18.52885684913665187423
-22.43592597027723201109,-21.37392406184657644985,-20.22273372640064081907,-18.97616838150631934923,-17.63063796955804463096,-16.19303713600084293489,-14.68066516390998899055,-13.10498085649251542861
-17.77535537285764277726,-16.64419982580289669727,-15.41696209794764449441,-14.08706149756155845409,-12.65071522347528265584,-11.11545321848352152472,-9.50000461078821700767,-7.81677967979783350216
-16.29982840916840558521,-15.15060542843905011523,-13.90274334339838624430,-12.54955029836715318936,-11.08719636444788747554,-9.52343508747685163485,-7.87746564273266702827,-6.16201780578023416979
-18.74196443866744488105,-17.62846991522400585950,-16.41933536246751046406,-15.10807554970327437616,-13.69096702195108683497,-12.17546442560556663182,-10.58006793577373727544,-8.91705228609908218118
-22.53989044901112848152,-21.48897609332657410164,-20.34880939134864874518,-19.11328732156109211360,-17.77888141586113945891,-16.35247249613527387169,-14.85124847359979405326,-13.28661659751598911328
